Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-02-01 00:00:00,0.22,BDL,null,OS,null,OS,1.66,OK,43.37,OK,26.57,OK
2024-02-01 01:00:00,0.26,BDL,null,OS,null,OS,1.04,OK,32.94,OK,39.24,OK
2024-02-01 02:00:00,0.13,BDL,null,OS,null,OS,1.06,OK,26.83,OK,34.86,OK
2024-02-01 03:00:00,-0.06,BDL,null,OS,null,OS,1.0,OK,23.87,OK,19.25,OK
2024-02-01 04:00:00,-0.07,BDL,null,OS,null,OS,0.95,OK,21.27,OK,7.96,OK
2024-02-01 05:00:00,-0.1,BDL,null,OS,null,OS,1.1,OK,19.57,OK,5.23,OK
2024-02-01 06:00:00,0.25,BDL,null,OS,null,OS,1.23,OK,20.82,OK,6.62,OK
2024-02-01 07:00:00,3.91,OK,null,OS,null,OS,1.24,OK,18.7,OK,-1.41,BDL
2024-02-01 08:00:00,12.7,OK,null,OS,null,OS,1.16,OK,13.3,OK,-5.19,OR
2024-02-01 09:00:00,28.29,OK,null,OS,null,OS,0.97,OK,9.1,OK,-0.93,BDL
2024-02-01 10:00:00,30.03,OK,null,OS,null,OS,1.02,OK,2.94,BDL,13.68,OK
2024-02-01 11:00:00,32.03,OK,null,OS,null,OS,1.02,OK,5.93,OK,10.99,OK
2024-02-01 12:00:00,33.59,OK,null,OS,null,OS,0.98,OK,8.86,OK,9.5,OK
2024-02-01 13:00:00,32.9,OK,null,OS,null,OS,0.96,OK,23.47,OK,11.12,OK
2024-02-01 14:00:00,31.81,OK,null,OS,null,OS,0.95,OK,37.2,OK,15.92,OK
2024-02-01 15:00:00,28.9,OK,null,OS,null,OS,0.95,OK,47.09,OK,16.35,OK
2024-02-01 16:00:00,27.35,OK,null,OS,null,OS,0.95,OK,48.4,OK,4.19,OK
2024-02-01 17:00:00,28.47,OK,null,OS,null,OS,0.98,OK,26.45,OK,6.08,OK
