Red Universitaria de Observatorios Atmosfericos (RUOA)
Atmospheric Observatory Hermosillo (erno), Sonora
Lat 29.0814 N, Lon 110.9706 W, Alt 154 masl
Time UTC-7h
Air Quality data
Flags: OK = Reliable data, BDL = Below Detection Limit, OR = Out of Range, OS = Out of Service 
 
Time,O3,O3_flag,SO2,SO2_flag,NO2,NO2_flag,NO,NO_flag,CO,CO_flag,PM10,PM10_flag,PM2.5,PM2.5_flag
yyyy-mm-dd HH:MM:SS,ppb,flag,ppb,flag,ppb,flag,ppb,flag,ppm,flag,ug/m^3,flag,ug/m^3,flag
2024-06-01 00:00:00,11.03,OK,1.14,OK,null,OS,null,OS,0.57,OK,13.67,OK,3.62,BDL
2024-06-01 01:00:00,0.96,BDL,0.29,BDL,null,OS,null,OS,0.47,OK,23.23,OK,7.17,OK
2024-06-01 02:00:00,3.95,OK,0.2,BDL,null,OS,null,OS,0.36,OK,29.4,OK,15.11,OK
2024-06-01 03:00:00,10.96,OK,0.01,BDL,null,OS,null,OS,0.25,OK,29.02,OK,10.06,OK
2024-06-01 04:00:00,8.38,OK,0.08,BDL,null,OS,null,OS,0.22,OK,23.75,OK,8.49,OK
2024-06-01 05:00:00,8.37,OK,0.07,BDL,null,OS,null,OS,0.24,OK,18.71,OK,4.36,OK
2024-06-01 06:00:00,17.34,OK,0.07,BDL,null,OS,null,OS,0.29,OK,21.28,OK,0.68,BDL
2024-06-01 07:00:00,24.84,OK,-0.05,BDL,null,OS,null,OS,0.29,OK,18.86,OK,4.98,OK
2024-06-01 08:00:00,31.64,OK,-0.02,BDL,null,OS,null,OS,0.28,OK,16.09,OK,16.75,OK
2024-06-01 09:00:00,38.01,OK,-0.05,BDL,null,OS,null,OS,0.26,OK,11.42,OK,15.28,OK
2024-06-01 10:00:00,33.59,OK,0.03,BDL,null,OS,null,OS,0.3,OK,12.36,OK,22.33,OK
2024-06-01 11:00:00,27.62,OK,0.02,BDL,null,OS,null,OS,0.31,OK,12.3,OK,21.39,OK
2024-06-01 12:00:00,22.56,OK,-0.0,BDL,null,OS,null,OS,0.31,OK,4.0,OK,11.32,OK
2024-06-01 13:00:00,24.52,OK,0.01,BDL,null,OS,null,OS,0.29,OK,16.43,OK,14.82,OK
2024-06-01 14:00:00,21.34,OK,0.02,BDL,null,OS,null,OS,0.31,OK,25.08,OK,17.18,OK
2024-06-01 15:00:00,21.49,OK,0.03,BDL,null,OS,null,OS,0.3,OK,24.39,OK,16.28,OK
2024-06-01 16:00:00,19.26,OK,-0.01,BDL,null,OS,null,OS,0.28,OK,33.41,OK,12.81,OK
2024-06-01 17:00:00,19.76,OK,-0.02,BDL,null,OS,null,OS,0.29,OK,17.59,OK,8.53,OK
2024-06-01 18:00:00,17.47,OK,0.05,BDL,null,OS,null,OS,0.3,OK,16.78,OK,5.33,OK
2024-06-01 19:00:00,16.8,OK,0.15,BDL,null,OS,null,OS,0.35,OK,16.61,OK,4.0,OK
2024-06-01 20:00:00,15.59,OK,0.22,BDL,null,OS,null,OS,0.38,OK,20.04,OK,-1.57,BDL
2024-06-01 21:00:00,14.03,OK,0.34,BDL,null,OS,null,OS,0.52,OK,18.53,OK,-2.22,BDL
2024-06-01 22:00:00,9.74,OK,0.16,BDL,null,OS,null,OS,0.56,OK,24.74,OK,3.84,BDL
2024-06-01 23:00:00,7.98,OK,0.4,BDL,null,OS,null,OS,0.69,OK,25.9,OK,6.36,OK
2024-06-02 00:00:00,-1.79,OR,0.33,BDL,null,OS,null,OS,0.81,OK,30.62,OK,7.77,OK
2024-06-02 01:00:00,5.19,OK,0.25,BDL,null,OS,null,OS,0.49,OK,39.03,OK,18.84,OK
2024-06-02 02:00:00,6.87,OK,-0.02,BDL,null,OS,null,OS,0.33,OK,26.68,OK,9.59,OK
2024-06-02 03:00:00,11.0,OK,0.02,BDL,null,OS,null,OS,0.24,OK,33.13,OK,16.03,OK
2024-06-02 04:00:00,19.12,OK,0.04,BDL,null,OS,null,OS,0.21,OK,20.74,OK,6.47,OK
2024-06-02 05:00:00,21.19,OK,0.02,BDL,null,OS,null,OS,0.23,OK,16.74,OK,0.76,BDL
2024-06-02 06:00:00,21.81,OK,0.02,BDL,null,OS,null,OS,0.25,OK,11.74,OK,-1.31,BDL
2024-06-02 07:00:00,25.94,OK,-0.04,BDL,null,OS,null,OS,0.24,OK,12.02,OK,5.47,OK
2024-06-02 08:00:00,28.42,OK,0.02,BDL,null,OS,null,OS,0.28,OK,5.65,OK,13.97,OK
2024-06-02 09:00:00,27.75,OK,0.02,BDL,null,OS,null,OS,0.29,OK,11.29,OK,20.57,OK
2024-06-02 10:00:00,28.04,OK,-0.01,BDL,null,OS,null,OS,0.28,OK,9.34,OK,14.47,OK
2024-06-02 11:00:00,26.86,OK,-0.04,BDL,null,OS,null,OS,0.27,OK,12.8,OK,18.84,OK
2024-06-02 12:00:00,35.39,OK,-0.04,BDL,null,OS,null,OS,0.26,OK,4.41,OK,7.92,OK
2024-06-02 13:00:00,31.18,OK,-0.02,BDL,null,OS,null,OS,0.3,OK,9.95,OK,10.91,OK
2024-06-02 14:00:00,25.78,OK,-0.03,BDL,null,OS,null,OS,0.33,OK,11.99,OK,15.56,OK
2024-06-02 15:00:00,19.45,OK,-0.12,BDL,null,OS,null,OS,0.33,OK,38.98,OK,19.31,OK
2024-06-02 16:00:00,17.37,OK,-0.05,BDL,null,OS,null,OS,0.31,OK,26.99,OK,14.08,OK
2024-06-02 17:00:00,17.39,OK,-0.07,BDL,null,OS,null,OS,0.31,OK,25.3,OK,7.17,OK
2024-06-02 18:00:00,14.72,OK,-0.0,BDL,null,OS,null,OS,0.33,OK,16.13,OK,5.29,OK
2024-06-02 19:00:00,12.44,OK,0.04,BDL,null,OS,null,OS,0.37,OK,18.18,OK,4.99,OK
2024-06-02 20:00:00,10.32,OK,-0.02,BDL,null,OS,null,OS,0.37,OK,19.46,OK,10.32,OK
2024-06-02 21:00:00,9.74,OK,0.05,BDL,null,OS,null,OS,0.43,OK,17.74,OK,22.05,OK
2024-06-02 22:00:00,8.75,OK,0.14,BDL,null,OS,null,OS,0.49,OK,19.0,OK,11.49,OK
2024-06-02 23:00:00,8.3,OK,0.11,BDL,null,OS,null,OS,0.46,OK,21.19,OK,9.75,OK
2024-06-03 00:00:00,3.65,OK,0.04,BDL,null,OS,null,OS,0.46,OK,17.07,OK,13.43,OK
