"id_materia","nombre_materia","clave_alfa","hsm","ebc","id_carrera","cuatrimestre","n_unidades","integradora"
2,"ADMINISTRACION DE PROYECTOS I","APRY1",4,"A",4,4,4,"-"
3,"ADMINISTRACION DE PROYECTOS II","APRY2",4,"A",4,5,4,"-"
4,"ADMINISTRACION DEL CAPITAL DE TRABAJO","ACT",5,"A",4,3,4,"-"
5,"ANALISIS E INTERPRETACION DE ESTADOS FINANCIEROS","AIEFI",5,"A",4,2,4,"-"
6,"CALIDAD","CALID",4,"A",4,5,5,"-"
7,"COMERCIALIZACION","COMER",6,"A",4,5,4,"-"
8,"CONSULTORIA EMPRESARIAL","COEMP",4,"A",4,5,5,"-"
9,"CONTABILIDAD I","CONT1",7,"A",4,1,5,"-"
10,"CONTABILIDAD II","CONT2",6,"A",4,2,3,"-"
11,"DESARROLLO LOCAL Y REGIONAL I","DLR",3,"A",4,3,3,"-"
12,"DESARROLLO LOCAL Y REGIONAL II","DELR",4,"A",4,4,3,"-"
13,"ECONOMIA APLICADA A LOS NEGOCIOS","ECANE",4,"A",4,3,4,"-"
14,"ESTADISTICA","ESTAD",6,"A",4,1,3,"-"
15,"ESTUDIO DE MERCADO","ESMER",5,"A",4,3,5,"-"
16,"ESTUDIO FINANCIERO","ESF",6,"A",4,4,5,"-"
17,"ESTUDIO TECNICO","ETECN",6,"A",4,4,6,"-"
18,"EVALUACION ECONOMICA FINANCIERA","EEF",7,"A",4,5,6,"-"
19,"EXPRESION ORAL Y ESCRITA I","EXOE1",5,"A",4,1,3,"-"
20,"EXPRESION ORAL Y ESCRITA II","EXOE2",5,"A",4,5,3,"-"
21,"FORMACION SOCIOCULTURAL I","FOSO1",2,"A",4,1,2,"-"
22,"FORMACION SOCIOCULTURAL II","FOSO2",3,"A",4,2,2,"-"
23,"FORMACION SOCIOCULTURAL III","FOSO3",2,"A",4,3,2,"-"
24,"FORMACION SOCIOCULTURAL IV","FOSO4",3,"A",4,4,3,"-"
25,"FUNDAMENTOS DE ADMINISTRACION","FAE",6,"A",4,1,4,"-"
26,"FUNDAMENTOS DE MERCADOTECNIA","FUNME",4,"A",4,2,3,"-"
27,"INFORMATICA","INFOR",5,"A",4,1,6,"-"
28,"INFORMATICA APLICADA A LOS NEGOCIOS","IAN",4,"A",4,4,6,"-"
29,"INGLES I","IINGI",4,"A",4,1,3,"-"
30,"INGLES II","IINII",4,"A",4,2,2,"-"
31,"INGLES III","INIII",4,"A",4,3,2,"-"
32,"INGLES IV","INIV",4,"A",4,4,3,"-"
33,"INGLES V","INGV",4,"A",4,5,2,"-"
34,"INTEGRADORA I","IIN I",2,"A",4,3,2,"A"
35,"INTEGRADORA II","INTG",2,"A",4,5,3,"A"
36,"PLANEACION ESTRATEGICA","PLANE",6,"A",4,2,4,"-"
37,"PLANEACION FINANCIERA","PFIN",5,"A",4,3,6,"-"
38,"PROCEDIMIENTOS ADMINISTRATIVOS","PROC",6,"A",4,2,5,"-"
39,"SISTEMAS DE PRODUCCION","SISP",4,"A",4,4,4,"-"
40,"TEORIA Y DESARROLLO ORGANIZACIONAL","TDO",5,"A",4,3,2,"-"
41,"ADMINISTRACION","ADMON",4,"A",10,1,5,"-"
42,"ADMINISTRACION DE ALMACEN","ADA",5,"A",10,3,3,"-"
43,"COMERCIO ELECTRONICO","CELE",4,"A",10,5,4,"-"
44,"COMERCIO INTERNACIONAL","COI",6,"A",10,4,4,"-"
45,"COMPRAS","COMPR",5,"A",10,2,4,"-"
46,"COMUNICACION INTEGRAL DE MERCADOTECNIA","CIM",4,"A",10,3,3,"-"
47,"ENTORNO DE LA EMPRESA","EEMP",4,"A",10,1,3,"-"
48,"ESTADISTICA PARA NEGOCIOS","IEPNE",5,"A",10,2,4,"-"
49,"ESTRATEGIAS DE VENTA","EVTA",5,"A",10,3,4,"-"
50,"ESTUDIO DEL CONSUMIDOR","ECON",4,"A",10,2,3,"-"
51,"EXPRESION ORAL Y ESCRITA I","EXOE1",5,"A",10,1,3,"-"
52,"EXPRESION ORAL Y ESCRITA II","EXOE2",5,"A",10,5,3,"-"
53,"FINANZAS","FIN",4,"A",10,3,3,"-"
54,"FORMACION SOCIOCULTURAL I","FOSO1",2,"A",10,1,2,"-"
55,"FORMACION SOCIOCULTURAL II","FOSO2",3,"A",10,2,2,"-"
56,"FORMACION SOCIOCULTURAL III","FOSO3",2,"A",10,3,2,"-"
57,"FORMACION SOCIOCULTURAL IV","FOSO4",3,"A",10,4,3,"-"
58,"FUNDAMENTOS DE MERCADOTECNIA","FUNME",4,"A",10,1,3,"-"
59,"GESTION DE VENTAS","GVTAS",5,"A",10,2,4,"-"
60,"INFORMATICA PARA NEGOCIOS I","IPN",4,"A",10,1,4,"-"
61,"INFORMATICA PARA NEGOCIOS II","INF",5,"A",10,2,2,"-"
62,"INGLES I","IINGI",4,"A",10,1,3,"-"
63,"INGLES II","IINII",4,"A",10,2,2,"-"
64,"INGLES III","INIII",4,"A",10,3,2,"-"
65,"INGLES IV","INIV",4,"A",10,4,3,"-"
66,"INGLES V","INGV",4,"A",10,5,2,"-"
67,"INTEGRADORA I","IIN I",2,"A",10,3,2,"A"
68,"INTEGRADORA II","INTG",2,"A",10,5,4,"A"
69,"INVESTIGACION DE MERCADOS I","INVM",5,"A",10,3,3,"-"
70,"INVESTIGACION DE MERCADOS II","IVM",5,"A",10,4,3,"-"
71,"MATEMATICAS","MAT",4,"A",10,1,6,"-"
72,"MERCADOTECNIA ESTRATEGICA","MEST",4,"A",10,3,2,"-"
73,"MEZCLA DE MERCADOTECNIA","MMERC",6,"A",10,4,4,"-"
74,"PLAN DE EXPORTACION","PEXP",4,"A",10,5,4,"-"
75,"PLAN DE NEGOCIOS","PLAN",6,"A",10,4,3,"-"
76,"PLANEACION ESTRATEGICA DE MERCADOTECNIA","PEMER",6,"A",10,5,4,"-"
77,"PRESUPUESTOS","PRE",4,"A",10,2,3,"-"
78,"PRODUCCION PUBLICITARIA I","PPUB",5,"A",10,4,4,"-"
79,"PRODUCCION PUBLICITARIA II","PRODP",6,"A",10,5,3,"-"
80,"RELACIONES HUMANAS","REH",4,"A",10,5,5,"-"
