Hora,cons,O3,SO2,NO2
00:00:00,24,7.1,0.37,0
01:00:00,23,13.49,0.28,0
02:00:00,22,15.11,0.3,0
03:00:00,21,15.33,0.27,0
04:00:00,20,14.42,0.32,0
05:00:00,19,7.18,0.5,0
06:00:00,18,1.05,0.76,0
07:00:00,17,5.96,0.65,0
08:00:00,16,15.38,0.55,0
09:00:00,15,24.89,0.46,0
10:00:00,14,27.54,0.55,0
11:00:00,13,30.63,0.51,0
12:00:00,12,35.46,0.51,0
13:00:00,11,38.32,0.39,0
14:00:00,10,34.85,0.4,0
15:00:00,9,34.78,0.51,0
16:00:00,8,24.19,0.58,0
17:00:00,7,6.13,0.78,0
18:00:00,6,4.34,0.87,0
19:00:00,5,5.25,0.79,0
20:00:00,4,0.91,1.29,0
21:00:00,3,1.06,1.37,0
22:00:00,2,1.61,1.17,0
23:00:00,1,0.69,0.95,0
